num of threads = 8
num of threads = 8
num of threads = 8
num of threads = 8
num of threads = 8
num of threads = 8
num of threads = 8
num of threads = 8
reading graph...
reading source...
source = 930, 1864 1513 2146
source = 131, 2099 2256 2922
source = 913, 1764 2097 2790
source = 109, 1313 1429 1220
source = 503, 1904 1963 1967
source = 739, 1241 1414 2154
source = 9, 2479 2301 2861
source = 47, 2023 1864 2716
source = 932, 820 1763 2467
source = 369, 1833 1968 1998
source = 617, 1513 1636 1183
source = 171, 1929 1393 2666
source = 912, 1972 1737 2210
source = 834, 1663 833 1573
source = 636, 1691 1623 2338
source = 11, 1444 1129 1795
source = 812, 1695 188 2146
source = 42, 1633 1564 2111
source = 907, 1601 1213 1815
source = 890, 2221 1919 3376
source = 132, 2275 1594 1342
source = 529, 1978 2137 2689
source = 724, 2063 1742 2588
source = 92, 831 1373 2478
source = 167, 2056 2277 2281
source = 566, 1155 1844 2417
source = 365, 1830 1833 2461
source = 266, 1940 2056 2249
source = 710, 2199 1875 2248
source = 479, 1617 1636 2376
source = 132, 2275 1594 1342
source = 790, 1422 1701 1930
source = 938, 1905 1499 1926
source = 1024, 1916 1653 0
source = 36, 1346 1403 1844
source = 576, 1283 1825 2071
source = 575, 1518 2047 2764
source = 621, 2108 1239 1202
source = 864, 2193 1232 2360
source = 774, 1664 1636 2489
source = 892, 1963 1557 2334
source = 780, 2444 2294 3208
source = 132, 2275 1594 1342
source = 725, 1468 2157 3115
source = 188, 1986 2001 2295
source = 175, 2398 1862 2882
source = 790, 1422 1701 1930
source = 513, 1630 1598 1537
source = 778, 2493 2294 2875
source = 1007, 1534 1686 2184
source = 241, 1781 1670 1984
source = 267, 1959 670 2467
source = 507, 1496 1090 2124
source = 79, 1328 1662 2059
source = 653, 1890 1527 2550
source = 215, 2009 2252 3271
source = 550, 1769 1300 2328
source = 846, 1696 1278 2663
source = 927, 1788 1695 2265
source = 1020, 1591 1434 2100
source = 735, 962 1462 1988
source = 109, 1313 1429 1220
source = 870, 1719 1250 2278
source = 368, 1795 1389 2625
source = 743, 1584 1374 2268
source = 898, 1888 895 2495
source = 229, 1781 1688 1247
source = 464, 2179 1696 2348
source = 932, 820 1763 2467
source = 257, 1778 2194 2525
source = 302, 1411 1387 2329
source = 321, 1773 1903 2643
source = 501, 2119 810 1527
source = 490, 1955 1352 2251
source = 314, 2148 1953 3001
source = 813, 1571 1432 979
source = 321, 1773 1903 2643
source = 536, 1594 1700 2302
source = 875, 1882 1939 2812
source = 380, 2055 1576 2316
source = 492, 2247 1945 2828
source = 698, 2336 2062 2106
source = 403, 2098 1459 2589
source = 228, 1485 1559 2200
source = 311, 1056 1390 2426
source = 764, 1991 1337 2054
source = 331, 1138 732 1968
source = 890, 2221 1919 3376
source = 37, 1860 1598 1767
source = 152, 2177 2365 2906
source = 519, 910 1519 817
source = 32, 1677 1566 2399
source = 406, 2166 1655 2537
source = 136, 2108 1956 2604
source = 390, 1711 1768 2072
source = 599, 1861 1800 1195
source = 191, 1562 1394 2060
source = 633, 2239 1724 2444
source = 508, 1809 1601 2597
source = 51, 1868 1459 1993
