reading graph...
reading source...
Source = 930, 1864 1513 2146
Source = 131, 2099 2256 2922
Source = 913, 1764 2097 2790
Source = 109, 1313 1429 1220
Source = 503, 1904 1963 1967
Source = 739, 1241 1414 2154
Source = 9, 2479 2301 2861
Source = 47, 2023 1864 2716
Source = 932, 820 1763 2467
Source = 369, 1833 1968 1998
Source = 617, 1513 1636 1183
Source = 171, 1929 1393 2666
Source = 912, 1972 1737 2210
Source = 834, 1663 833 1573
Source = 636, 1691 1623 2338
Source = 11, 1444 1129 1795
Source = 812, 1695 188 2146
Source = 42, 1633 1564 2111
Source = 907, 1601 1213 1815
Source = 890, 2221 1919 3376
Source = 132, 2275 1594 1342
Source = 529, 1978 2137 2689
Source = 724, 2063 1742 2588
Source = 92, 831 1373 2478
Source = 167, 2056 2277 2281
Source = 566, 1155 1844 2417
Source = 365, 1830 1833 2461
Source = 266, 1940 2056 2249
Source = 710, 2199 1875 2248
Source = 479, 1617 1636 2376
Source = 132, 2275 1594 1342
Source = 790, 1422 1701 1930
Source = 938, 1905 1499 1926
Source = 1024, 1916 1653 0
Source = 36, 1346 1403 1844
Source = 576, 1283 1825 2071
Source = 575, 1518 2047 2764
Source = 621, 2108 1239 1202
Source = 864, 2193 1232 2360
Source = 774, 1664 1636 2489
Source = 892, 1963 1557 2334
Source = 780, 2444 2294 3208
Source = 132, 2275 1594 1342
Source = 725, 1468 2157 3115
Source = 188, 1986 2001 2295
Source = 175, 2398 1862 2882
Source = 790, 1422 1701 1930
Source = 513, 1630 1598 1537
Source = 778, 2493 2294 2875
Source = 1007, 1534 1686 2184
Source = 241, 1781 1670 1984
Source = 267, 1959 670 2467
Source = 507, 1496 1090 2124
Source = 79, 1328 1662 2059
Source = 653, 1890 1527 2550
Source = 215, 2009 2252 3271
Source = 550, 1769 1300 2328
Source = 846, 1696 1278 2663
Source = 927, 1788 1695 2265
Source = 1020, 1591 1434 2100
Source = 735, 962 1462 1988
Source = 109, 1313 1429 1220
Source = 870, 1719 1250 2278
Source = 368, 1795 1389 2625
Source = 743, 1584 1374 2268
Source = 898, 1888 895 2495
Source = 229, 1781 1688 1247
Source = 464, 2179 1696 2348
Source = 932, 820 1763 2467
Source = 257, 1778 2194 2525
Source = 302, 1411 1387 2329
Source = 321, 1773 1903 2643
Source = 501, 2119 810 1527
Source = 490, 1955 1352 2251
Source = 314, 2148 1953 3001
Source = 813, 1571 1432 979
Source = 321, 1773 1903 2643
Source = 536, 1594 1700 2302
Source = 875, 1882 1939 2812
Source = 380, 2055 1576 2316
Source = 492, 2247 1945 2828
Source = 698, 2336 2062 2106
Source = 403, 2098 1459 2589
Source = 228, 1485 1559 2200
Source = 311, 1056 1390 2426
Source = 764, 1991 1337 2054
Source = 331, 1138 732 1968
Source = 890, 2221 1919 3376
Source = 37, 1860 1598 1767
Source = 152, 2177 2365 2906
Source = 519, 910 1519 817
Source = 32, 1677 1566 2399
Source = 406, 2166 1655 2537
Source = 136, 2108 1956 2604
Source = 390, 1711 1768 2072
Source = 599, 1861 1800 1195
Source = 191, 1562 1394 2060
Source = 633, 2239 1724 2444
